Place,Title,Name,Type,Latitude,Longitude,Code,Enclosed_by,Date
[P0003],Sweden,Sweden,Country,,,,,
[P0006],USA,United States,Country,,,,,
[P0016],Lapväärtti,Dagsmark,City,,,,,
[P0039],Soviet Union,Soviet Union,Country,,,,,
[P0041],Teuva . Muutti Helsingin pitäjään 21.01.1892,Teuva . Muutti Helsingin pitäjään 21.01.1892,Unknown,,,,,
[P0042],Muutti Helsingin pitäjään 21.01.1892,Muutti Helsingin pitäjään 21.01.1892,Unknown,,,,,
[P0043],Muutti naimattomana Helsinkiin 14.05.1898,Muutti naimattomana Helsinkiin 14.05.1898,Unknown,,,,,
[P0044],Muutti Helsinkiin 14.05.1898  Muutti amerikkaan Sointulaan tuli takaisin Helsinkiin ja kuoli siellä.,Muutti Helsinkiin 14.05.1898  Muutti amerikkaan Sointulaan tuli takaisin Helsinkiin ja kuoli siellä.,Unknown,,,,,
[P0045],Musiikki lauloi sointulassa Matti Kurikan kanssa,Musiikki lauloi sointulassa Matti Kurikan kanssa,Unknown,,,,,
[P0046],Muutti Helsinkiin 26.11.1901,Muutti Helsinkiin 26.11.1901,Unknown,,,,,
[P0047],Teuva,Teuva,Unknown,,,,,
[P0048],Muutti naimattomana Oulunläänin Pyhäjoelle   27.08.1913,Muutti naimattomana Oulunläänin Pyhäjoelle   27.08.1913,Unknown,,,,,
[P0049],Oli töissä Kasksin ja Kristiinan satamissa .  Sairasti keuhkokuumeen eli sen jälkeen vielä kuusi vuotta.,Oli töissä Kasksin ja Kristiinan satamissa .  Sairasti keuhkokuumeen eli sen jälkeen vielä kuusi vuotta.,Unknown,,,,,
[P0050],Muutti Laihialle 15.01.1926,Muutti Laihialle 15.01.1926,Unknown,,,,,
[P0051],Muutti Ylistaroon 18.02.1931,Muutti Ylistaroon 18.02.1931,Unknown,,,,,
[P0052],Sääminki,Sääminki,Unknown,,,,,
[P0053],Muutti Sääminkiin 25.02.1937,Muutti Sääminkiin 25.02.1937,Unknown,,,,,
[P0054],Muutti Jalasjärvelle Mantilan kylään 02.06.1947,Muutti Jalasjärvelle Mantilan kylään 02.06.1947,Unknown,,,,,
[P0055],Muutti naimattomana Jämsänkoskelle 17.12.1947,Muutti naimattomana Jämsänkoskelle 17.12.1947,Unknown,,,,,
[P0056],06 2672163,06 2672163,Unknown,,,,,
[P0057],Muutti naimattomana Jämsänkoskelle 22.07.1950,Muutti naimattomana Jämsänkoskelle 22.07.1950,Unknown,,,,,
[P0058],Jämsässä,Jämsässä,Unknown,,,,,
[P0059],Muutti naimattomana Jämsänkoskelle,Muutti naimattomana Jämsänkoskelle,Unknown,,,,,
[P0060],Muutti naimattomana Jämsänkoskelle 14.05.1954,Muutti naimattomana Jämsänkoskelle 14.05.1954,Unknown,,,,,
[P0061],Jämsänkoskella,Jämsänkoskella,Unknown,,,,,
[P0062],Muutti avioliitossa olevana Jämsänkoskelle 01.09.1960,Muutti avioliitossa olevana Jämsänkoskelle 01.09.1960,Unknown,,,,,
[P0063],Teuvan Horonkylässä,Teuvan Horonkylässä,Unknown,,,,,
[P0064],Aili ja Kauno Salmenoksa,Aili ja Kauno Salmenoksa,Unknown,,,,,
[P0065],06 2671915,06 2671915,Unknown,,,,,
